Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_XGB_Price,Predicted_LGB_Price,Simulated_Revenue_XGB,Simulated_Revenue_LGB
25,7,0,1,24,3.85,1,1,144,494.8027992189699,483.22144,521.5699411812034,483.22144,521.5699411812034
24,9,2,0,6,4.05,0,1,69,223.51901195083727,228.46065,229.34331931936148,228.46065,229.34331931936148
92,37,0,2,7,4.92,2,1,103,434.5710508212173,412.68964,433.3565534002102,412.68964,433.3565534002102
43,33,0,0,16,4.01,2,1,159,630.4284012724294,624.0661,617.1423949075826,624.0661,617.1423949075826
96,23,2,0,8,4.23,2,1,90,445.1254111184949,439.17545,429.80816842527935,439.17545,429.80816842527935
88,46,0,0,35,4.89,0,1,72,361.98552095653855,271.81168,260.32612169910243,271.81168,260.32612169910243
83,43,1,1,20,3.59,2,0,63,267.28219711727195,230.0159,263.95358310214124,230.0159,263.95358310214124
50,29,2,1,2,4.81,2,0,143,518.9547629602604,455.3562,455.5624715146088,455.3562,455.5624715146088
97,75,2,1,15,4.94,0,0,163,575.4934491747886,577.20306,586.1949886403434,577.20306,586.1949886403434
84,24,1,1,39,4.08,0,0,86,349.4432162449335,343.9393,347.4383381949208,343.9393,347.4383381949208
68,40,1,2,58,4.64,2,1,68,279.2349662242834,283.43936,282.6927899570843,283.43936,282.6927899570843
77,30,2,1,99,4.7,1,1,179,689.7483154802385,736.5661,694.677844789039,736.5661,694.677844789039
82,67,2,1,13,4.43,0,0,33,88.76294359232648,90.03898,89.8463615390719,90.03898,89.8463615390719
21,8,1,0,37,3.71,1,1,171,621.7963494961118,621.7013,648.9254096404612,621.7013,648.9254096404612
75,24,0,1,44,3.79,3,1,72,307.621949405299,312.58047,310.3376105757013,312.58047,310.3376105757013
61,9,2,0,74,3.98,1,1,32,172.41053126646165,168.03456,166.8351570468565,168.03456,166.8351570468565
90,13,1,1,24,3.73,0,0,126,444.2453020895959,448.51694,454.1235434840084,448.51694,454.1235434840084
100,21,1,1,20,3.52,3,1,163,556.8967118375435,559.07367,569.5483137312716,559.07367,569.5483137312716
93,31,1,0,13,3.58,0,1,101,355.3245754797394,362.76703,369.25897798981185,362.76703,369.25897798981185
92,14,2,2,57,3.73,2,1,133,474.99773906008016,477.2724,473.8903360265582,477.2724,473.8903360265582
61,12,0,0,59,4.72,0,1,178,581.9712306098094,585.30115,633.6755232156374,585.30115,633.6755232156374
53,12,1,0,79,3.6,3,1,154,663.4393972369916,554.4972,564.0718402847272,554.4972,564.0718402847272
55,21,2,1,20,3.56,3,1,134,519.469492374694,525.5646,518.7330593222147,525.5646,518.7330593222147
57,45,0,0,78,4.43,0,1,112,397.6919501475396,409.631,400.7036952365217,409.631,400.7036952365217
34,8,1,2,51,4.09,0,1,130,388.1122298927073,402.75378,409.50033958162027,402.75378,409.50033958162027
50,11,1,2,19,4.87,2,0,144,591.1000759572743,583.56866,580.0737054412369,583.56866,580.0737054412369
35,22,0,2,82,3.79,0,0,174,586.7988633141081,673.97986,697.6915002725884,673.97986,697.6915002725884
43,14,1,1,1,3.53,3,1,134,648.9097429236178,518.0418,497.4016196423639,518.0418,497.4016196423639
50,25,1,2,19,4.32,3,0,176,746.3391324597457,743.45715,723.693504798673,743.45715,723.693504798673
55,19,2,1,64,4.34,2,1,129,555.0976877626003,543.8242,546.2785324334043,543.8242,546.2785324334043
93,67,2,2,21,4.88,3,1,87,417.91314129159,413.86395,398.4088658858242,413.86395,398.4088658858242
94,69,2,2,86,4.12,2,1,18,97.80093621671637,99.65979,110.52271273975786,99.65979,110.52271273975786
70,60,2,1,57,4.05,0,1,43,193.0891119987856,196.02124,197.33487245836866,196.02124,197.33487245836866
36,25,1,1,61,3.64,3,0,132,492.4640116460618,493.38516,480.9398562060503,493.38516,480.9398562060503
37,9,1,2,73,4.8,2,0,124,408.81562882076287,405.6253,405.91203623428027,405.6253,405.91203623428027
68,46,2,0,8,4.21,0,0,116,364.1617948077249,401.73856,381.71758906822737,401.73856,381.71758906822737
77,15,1,1,47,4.47,2,0,66,228.64349787316,237.26093,239.43888130433456,237.26093,239.43888130433456
27,12,1,2,64,4.7,1,0,149,667.9464280068869,664.0097,662.8948014399803,664.0097,662.8948014399803
90,56,1,2,61,4.38,3,1,91,410.34270896598935,325.25446,312.2198528821483,325.25446,312.2198528821483
46,23,1,1,19,4.92,0,0,169,710.4192641684332,709.5988,704.7418926317517,709.5988,704.7418926317517
96,80,2,1,47,3.77,2,0,70,177.20306582722415,253.10265,239.25937618501194,253.10265,239.25937618501194
80,6,0,2,43,4.81,3,0,24,74.32837977574499,74.16317,75.99659301624116,74.16317,75.99659301624116
80,31,1,2,91,4.61,1,1,127,392.3027600530253,506.6983,521.559603855371,506.6983,521.559603855371
64,25,1,2,85,4.46,0,1,37,168.61019430479575,168.42107,166.76333628272963,168.42107,166.76333628272963
57,42,0,2,36,3.59,0,1,167,587.2581373063812,637.5455,625.5102287700411,637.5455,625.5102287700411
52,7,0,2,57,4.82,3,0,180,563.9803272683639,599.79846,646.2751255286469,599.79846,646.2751255286469
69,56,2,1,73,4.02,3,1,116,352.3474982568331,359.6249,355.9386427923912,359.6249,355.9386427923912
67,54,1,1,53,3.67,2,0,110,415.3075369486595,411.83896,406.7202213818244,411.83896,406.7202213818244
25,7,0,2,13,4.07,0,1,60,204.215843297379,207.68098,204.43549840229102,207.68098,204.43549840229102
80,35,0,1,29,4.49,3,0,79,319.6520700676685,306.05228,307.0052805077092,306.05228,307.0052805077092
73,6,1,2,5,4.03,3,1,71,362.05333073474793,355.5422,337.9792327459251,355.5422,337.9792327459251
24,6,2,1,65,4.29,0,1,106,387.4755378090192,395.00934,411.2084529324691,395.00934,411.2084529324691
37,14,0,0,18,4.36,1,0,85,348.8532987245396,340.52313,346.2945363778785,340.52313,346.2945363778785
27,6,0,1,74,4.75,0,1,157,732.2985126943609,614.8928,707.5179560148632,614.8928,707.5179560148632
23,11,2,1,11,4.86,0,0,133,343.6721333865543,348.24692,355.40994960992623,348.24692,355.40994960992623
42,8,0,0,12,4.79,2,1,166,599.7162532373392,602.8641,568.4970742854415,602.8641,568.4970742854415
74,39,2,2,11,3.65,2,0,173,484.75453888236336,700.98157,666.7995100433394,700.98157,666.7995100433394
68,30,2,1,28,4.69,3,1,134,581.1514565564086,572.4891,580.8139397848447,572.4891,580.8139397848447
59,9,1,2,30,4.83,0,0,140,603.3651642705413,505.50104,514.1199191472539,505.50104,514.1199191472539
89,75,0,2,76,4.39,1,0,110,369.8546414878244,370.90637,374.04463295084975,370.90637,374.04463295084975
81,35,1,1,45,4.11,3,0,174,708.8801421484817,708.00397,693.3406946027037,708.00397,693.3406946027037
33,8,1,1,74,4.52,2,1,56,205.83755050869485,211.3127,209.6273863166,211.3127,209.6273863166
75,28,2,0,49,4.46,3,0,163,684.5607033083106,673.12915,671.1458409878811,673.12915,671.1458409878811
87,48,1,2,95,4.73,2,0,162,453.2541298779704,457.0727,468.9295503584208,457.0727,468.9295503584208
56,37,1,2,96,3.83,0,1,130,412.5848379812361,458.21808,490.9499646402486,458.21808,490.9499646402486
75,32,2,2,20,3.69,1,1,96,440.4442377359072,411.9505,408.7127118515862,411.9505,408.7127118515862
99,54,0,2,96,3.77,0,1,61,241.6407113776789,241.02881,238.7782852308407,241.02881,238.7782852308407
33,16,0,1,81,4.08,0,1,50,201.2925318937432,213.76962,239.81235372150712,213.76962,239.81235372150712
41,28,0,0,89,4.47,1,1,45,220.05114029296504,218.9959,217.92712922112176,218.9959,217.92712922112176
55,19,1,2,74,3.51,2,0,173,702.9134159653358,702.4777,698.8624882371674,702.4777,698.8624882371674
93,51,0,2,12,4.98,2,1,90,431.42166025583447,430.41025,423.2106638866872,430.41025,423.2106638866872
54,35,2,2,11,4.49,0,1,96,466.8626810645626,452.7953,452.71351059662464,452.7953,452.71351059662464
34,20,2,0,21,4.15,2,1,158,445.1263611668488,468.68826,480.0444549025315,468.68826,480.0444549025315
86,18,1,2,61,4.3,0,1,126,441.6378571357946,528.3031,542.3244216012612,528.3031,542.3244216012612
85,27,1,0,8,4.11,3,1,157,669.5210116683382,572.1521,564.5735593102079,572.1521,564.5735593102079
74,5,1,1,80,3.63,3,0,134,354.3852115042604,356.7703,362.3617088523615,356.7703,362.3617088523615
63,53,0,0,33,4.33,0,0,175,489.7125242986789,494.1389,523.135215814152,494.1389,523.135215814152
55,13,1,2,45,3.71,2,1,40,222.56858200356248,218.75783,216.90714239745904,218.75783,216.90714239745904
100,66,1,0,27,3.53,1,1,106,412.2556067980849,408.4561,418.89591077113266,408.4561,418.89591077113266
51,27,2,0,86,3.82,1,1,152,472.21573527678265,482.32336,475.5954980529156,482.32336,475.5954980529156
37,10,2,2,33,4.86,0,0,44,179.93988033973832,174.07149,172.5009761062603,174.07149,172.5009761062603
99,71,1,0,3,4.63,2,1,100,308.9111533232364,310.38593,342.2899127381011,310.38593,342.2899127381011
54,24,0,2,85,3.79,1,0,102,306.3142432341152,308.37125,313.8706261629292,308.37125,313.8706261629292
30,7,0,0,57,4.27,2,1,69,224.46487829301583,238.87825,240.19034934024927,238.87825,240.19034934024927
84,56,2,2,71,4.56,1,1,15,101.07378646994935,100.62938,93.65967873605959,100.62938,93.65967873605959
49,14,1,2,55,4.43,2,1,131,633.4966221375331,617.0738,619.4277478650276,617.0738,619.4277478650276
86,10,2,2,98,4.8,2,0,18,62.87509273644356,63.944233,62.6313373512829,63.944233,62.6313373512829
48,24,0,0,17,3.98,0,0,29,92.03104706108972,94.84496,92.24708042597815,94.84496,92.24708042597815
67,18,2,2,78,3.81,2,1,22,106.7358926414302,110.40659,112.95334832552649,110.40659,112.95334832552649
100,16,0,0,96,3.65,3,1,163,560.6703257140985,561.6685,538.529665232329,561.6685,538.529665232329
79,7,0,2,31,4.82,3,0,100,322.9000694955284,320.25937,316.85686348963895,320.25937,316.85686348963895
99,9,0,2,33,4.98,0,0,110,292.33936093553586,293.72684,309.74515494297276,293.72684,309.74515494297276
34,24,2,2,3,4.41,2,0,97,242.7517170048808,360.8388,343.68271502251355,360.8388,343.68271502251355
54,21,2,2,23,4.44,1,1,136,442.7796305981407,454.47937,452.0033383134377,454.47937,452.0033383134377
77,43,1,1,73,4.07,0,1,131,505.54671645728143,504.10458,495.821386121468,504.10458,495.821386121468
80,21,2,1,85,4.21,2,1,146,474.9171617926677,491.93234,484.0538383093231,491.93234,484.0538383093231
74,54,2,1,16,4.35,0,1,147,617.434678434942,608.2915,609.5012467864293,608.2915,609.5012467864293
57,38,2,1,31,3.97,2,1,64,294.8553699465021,272.50876,263.55925824824465,272.50876,263.55925824824465
97,66,2,2,90,3.6,1,1,150,717.467322019467,714.03735,686.6948648280033,714.03735,686.6948648280033
52,14,1,0,97,4.83,1,1,66,266.9772170141728,266.26486,268.7285447785791,266.26486,268.7285447785791
51,37,0,1,34,4.64,0,0,100,383.3711770715268,382.36768,385.83626272227946,382.36768,385.83626272227946
87,52,2,0,15,3.57,3,0,66,266.4336179135411,272.6606,262.3879851419013,272.6606,262.3879851419013
91,42,1,2,76,4.96,2,0,86,336.39439243010713,335.75723,333.48896490621973,335.75723,333.48896490621973
85,34,0,1,66,4.59,2,1,163,764.8593556145701,764.42267,782.8468530767736,764.42267,782.8468530767736
57,21,0,2,28,4.93,3,0,141,588.6941797749441,579.9943,574.522922619415,579.9943,574.522922619415
28,8,2,1,67,3.78,0,1,58,305.2426676647312,294.00977,288.24432746594005,294.00977,288.24432746594005
58,30,2,1,32,4.14,3,0,75,256.37380365626416,261.48752,258.6606507497535,261.48752,258.6606507497535
31,9,0,0,18,4.42,2,1,114,461.0193485856391,414.6656,393.5759860375173,414.6656,393.5759860375173
27,11,1,0,88,4.5,1,1,144,581.7472844259253,575.40967,568.2689896940492,575.40967,568.2689896940492
90,75,2,0,88,4.1,0,0,106,472.5465909334413,394.7389,383.0426704870037,394.7389,383.0426704870037
54,8,1,1,41,3.89,2,0,168,573.4835718398938,570.93256,545.3155809983429,570.93256,545.3155809983429
23,9,1,2,50,3.84,1,1,34,192.3850221961644,169.87833,181.21993637767116,169.87833,181.21993637767116
94,64,2,1,62,4.87,3,0,166,744.0359811402852,741.482,715.1101208251117,741.482,715.1101208251117
86,20,1,2,51,3.75,2,1,110,412.25746306035046,415.91962,401.62374444088096,415.91962,401.62374444088096
79,55,1,1,91,4.39,2,0,48,189.5605649707772,186.29202,189.50050342061186,186.29202,189.50050342061186
73,13,2,1,93,3.95,3,0,90,357.0434721850994,355.40353,352.8822377577342,355.40353,352.8822377577342
74,23,2,1,45,4.07,2,1,99,417.1740953777763,388.86548,401.65968943197896,388.86548,401.65968943197896
26,11,2,0,10,4.22,2,1,69,314.84471031916905,278.54346,274.2263215327055,278.54346,274.2263215327055
99,30,2,1,74,4.21,2,1,160,629.9546011362719,618.79565,604.8891490460542,618.79565,604.8891490460542
80,42,2,0,85,4.22,3,0,131,473.5617540035448,474.92368,476.17009566196487,474.92368,476.17009566196487
78,35,0,1,5,4.35,1,1,100,317.88095784682014,330.40018,325.9414050604162,330.40018,325.9414050604162
63,6,2,0,29,4.79,1,1,24,132.49921949173307,136.03725,140.82320460447414,136.03725,140.82320460447414
25,8,0,1,30,4.44,3,0,115,430.7858509781543,421.5642,421.1679528654856,421.5642,421.1679528654856
100,50,2,1,20,4.14,1,0,127,350.2265835541767,457.12668,414.9485915872868,457.12668,414.9485915872868
46,8,2,2,32,4.81,0,0,112,466.42747932165264,466.5702,465.56578959814794,466.5702,465.56578959814794
59,29,2,1,90,4.3,3,0,145,651.7303890276737,634.6674,637.060101658251,634.6674,637.060101658251
21,11,0,0,18,4.2,2,1,49,266.34807324582846,265.44876,259.1345885975854,265.44876,259.1345885975854
64,7,0,2,48,4.67,1,0,64,266.38537677090085,258.15503,256.37201820921536,258.15503,256.37201820921536
52,22,1,0,72,3.6,2,1,101,303.803226426852,368.31213,369.15907871508705,368.31213,369.15907871508705
100,56,1,2,67,4.2,1,0,169,461.9661913503604,460.111,471.65157647492606,460.111,471.65157647492606
83,72,0,1,25,4.62,3,1,45,201.0575405594342,201.44691,209.44139923753062,201.44691,209.44139923753062
89,10,0,2,36,4.12,0,1,13,94.21444738997974,94.31173,92.88622789355807,94.31173,92.88622789355807
100,37,0,2,47,4.7,0,0,142,546.8574476673242,550.3815,552.1570367520197,550.3815,552.1570367520197
71,7,2,0,31,4.83,2,1,60,292.74683013160404,287.0792,279.7687303366035,287.0792,279.7687303366035
94,26,1,1,0,3.94,0,1,40,150.90603765991335,153.06021,152.7403066453217,153.06021,152.7403066453217
52,23,2,1,41,4.23,1,0,134,534.90663340905,523.28253,529.3429709440177,523.28253,529.3429709440177
27,15,2,2,31,4.95,0,0,103,315.2654030422818,319.70435,328.26904221862947,319.70435,328.26904221862947
88,62,2,1,62,4.82,0,0,162,601.2360266422271,603.5695,614.1563793486412,603.5695,614.1563793486412
48,38,1,2,64,4.97,3,1,152,701.4695729515377,703.763,691.564857736277,703.763,691.564857736277
53,35,1,1,1,3.67,2,1,88,392.0078846224547,393.11023,387.6222361925959,393.11023,387.6222361925959
31,12,1,0,34,4.7,3,0,105,331.8375249153692,343.50348,350.45972563908106,343.50348,350.45972563908106
56,34,1,2,1,4.56,0,0,121,307.5259290756184,313.32712,330.7211847036637,313.32712,330.7211847036637
48,35,0,0,47,4.26,2,0,26,68.27174499943663,70.451385,71.69979659250605,70.451385,71.69979659250605
93,66,1,2,22,3.91,3,0,180,765.4397485645513,765.14386,743.086098947567,765.14386,743.086098947567
49,18,0,2,62,4.92,0,0,62,168.36628924698925,169.32257,166.78633770682166,169.32257,166.78633770682166
72,33,0,0,63,4.25,1,0,132,351.7736189685264,370.55075,363.14586030355827,370.55075,363.14586030355827
62,11,1,0,37,4.23,2,1,71,363.3457529659053,349.64658,364.6139835158677,349.64658,364.6139835158677
39,15,1,1,53,4.6,1,1,38,201.7146762833217,194.34937,194.55332840036334,194.34937,194.55332840036334
67,56,2,0,49,4.22,0,1,23,121.43999901863724,121.60014,126.22328312869317,121.60014,126.22328312869317
88,15,2,1,39,4.51,0,0,137,598.7750233051204,592.4634,582.9624870200186,592.4634,582.9624870200186
29,16,2,2,75,4.11,2,1,80,371.1242881043308,360.93942,355.03633209237967,360.93942,355.03633209237967
100,24,2,2,88,4.49,3,0,56,173.66696747925593,172.67908,174.20641972931546,172.67908,174.20641972931546
98,43,1,0,62,4.98,2,0,130,538.5185280064754,536.3755,526.242595456125,536.3755,526.242595456125
35,10,0,0,40,3.54,3,0,75,281.9625670059949,282.99387,277.3301654399962,282.99387,277.3301654399962
58,14,0,0,10,3.77,2,0,95,258.01445968829404,322.08176,307.2250501536952,322.08176,307.2250501536952
22,7,2,0,53,4.43,2,1,98,476.2019961536034,469.03616,458.89807310148325,469.03616,458.89807310148325
84,37,1,1,94,3.83,3,0,28,124.64550323605349,124.07479,113.86309547065204,124.07479,113.86309547065204
91,14,1,2,19,4.78,3,1,19,111.11271494112724,124.26054,142.44327999345944,124.26054,142.44327999345944
56,29,2,0,67,4.49,0,0,125,421.8171879075184,427.34662,415.84362939112634,427.34662,415.84362939112634
97,21,0,1,36,3.72,1,1,23,134.0510144913575,133.86829,124.79443833720222,133.86829,124.79443833720222
57,47,2,0,26,3.8,2,0,30,132.4032477391118,129.85513,118.06205846002825,129.85513,118.06205846002825
94,27,1,2,100,3.6,3,1,172,547.9814624298182,547.77106,581.6355024344539,547.77106,581.6355024344539
84,6,1,0,24,3.74,2,0,68,281.96824577029594,280.64655,276.6529045573011,280.64655,276.6529045573011
40,11,0,2,1,4.24,3,1,35,182.46632143825187,182.99933,185.1783178423662,182.99933,185.1783178423662
65,36,1,2,20,4.39,3,1,87,313.7742265682814,321.79907,319.65841511707424,321.79907,319.65841511707424
35,22,2,2,28,4.88,0,1,116,422.8866610257602,422.44644,431.4007240493252,422.44644,431.4007240493252
40,30,2,1,67,4.03,1,1,143,529.6967147126813,534.2251,528.9075409346896,534.2251,528.9075409346896
61,45,2,2,6,4.99,1,0,10,25.993449448411635,27.803175,41.58006099285945,27.803175,41.58006099285945
50,14,2,0,98,3.52,3,1,109,351.5699575243088,352.13837,362.3291921394363,352.13837,362.3291921394363
98,25,1,2,30,4.76,0,0,60,154.68715967826247,156.35248,163.71315747609745,156.35248,163.71315747609745
54,37,1,1,41,4.69,0,1,16,106.59208227583191,108.54646,110.6576071960463,108.54646,110.6576071960463
37,13,0,1,31,4.66,0,0,35,132.1665679180113,134.85818,131.64403022857218,134.85818,131.64403022857218
78,41,2,2,12,4.99,0,0,22,76.224961221763,75.64455,76.66135922010854,75.64455,76.66135922010854
84,21,0,0,88,3.5,0,0,146,598.9400399823005,599.34064,596.5795138931876,599.34064,596.5795138931876
44,32,1,2,51,4.2,0,1,168,563.1508995670627,570.15594,596.4059967396219,570.15594,596.4059967396219
25,11,2,2,92,3.91,3,0,115,310.1546162756803,394.51178,357.0785668616227,394.51178,357.0785668616227
38,13,2,0,38,4.46,1,1,28,145.13756861567325,146.7376,142.97641707576756,146.7376,142.97641707576756
85,25,2,2,21,4.03,2,0,73,323.5576857599395,320.8346,326.31250755877727,320.8346,326.31250755877727
31,13,1,0,87,4.04,1,0,11,31.5656761621252,49.75165,55.49976951513101,49.75165,55.49976951513101
67,6,0,1,25,4.45,1,1,31,144.46263762346956,147.04393,147.3206224107688,147.04393,147.3206224107688
77,11,0,2,70,3.82,3,1,63,252.4930471020809,256.4669,261.85767591303085,256.4669,261.85767591303085
32,11,1,2,30,3.53,0,1,32,146.51277441611944,146.491,147.34724215807114,146.491,147.34724215807114
71,30,0,1,60,4.83,1,1,156,501.801349985356,594.1509,644.9492831742435,594.1509,644.9492831742435
65,38,2,1,13,4.77,2,1,132,610.7325514755008,597.99286,597.4942606840871,597.99286,597.4942606840871
64,29,2,2,66,3.79,3,1,37,194.2623993646844,193.89217,184.35055589269072,193.89217,184.35055589269072
48,38,2,2,45,4.17,0,0,87,318.2101259853132,349.64835,346.77652121942924,349.64835,346.77652121942924
76,42,0,0,95,3.93,2,0,180,512.6251102173163,514.04504,546.8078377164397,514.04504,546.8078377164397
76,53,2,1,77,3.67,0,1,179,555.8919187631545,561.5601,604.7099157290436,561.5601,604.7099157290436
71,14,1,2,8,4.44,3,0,76,242.1588607696964,245.51598,261.13459104367723,245.51598,261.13459104367723
76,9,2,2,64,4.16,1,0,10,41.40499127744981,40.54466,39.49657127136368,40.54466,39.49657127136368
51,14,0,0,16,3.51,3,1,30,180.88655372559683,180.36491,187.77957083966356,180.36491,187.77957083966356
88,38,0,0,29,3.73,1,1,167,537.8971058809161,587.8607,584.9359801292449,587.8607,584.9359801292449
60,24,0,0,5,3.79,0,1,154,556.6629286327259,558.23804,573.583610224201,558.23804,573.583610224201
73,55,0,1,55,4.2,0,0,52,158.5563431447304,162.69313,160.02606987705377,162.69313,160.02606987705377
23,10,2,2,80,3.88,0,0,22,59.4454065021933,59.76903,60.65088365631525,59.76903,60.65088365631525
74,27,1,2,51,3.75,2,1,111,334.1449975015087,346.49857,346.4207201634197,346.49857,346.4207201634197
49,6,1,0,18,4.41,3,1,148,443.7750198288772,451.104,451.30455385162134,451.104,451.30455385162134
31,8,0,0,7,3.57,3,0,35,145.24203735141535,107.66498,105.97521465756442,107.66498,105.97521465756442
57,46,0,1,42,4.39,2,0,56,210.6317666138125,208.9556,207.7948058295384,208.9556,207.7948058295384
64,19,1,1,35,4.02,0,0,39,152.22919256822726,154.31696,156.74999911561696,154.31696,156.74999911561696
86,76,1,1,84,4.99,3,0,149,612.446726848697,612.4546,616.5370562615766,612.4546,616.5370562615766
54,28,1,1,73,3.56,2,1,51,250.28588237277447,245.78499,229.68531007987943,245.78499,229.68531007987943
85,37,0,0,10,3.76,3,1,61,309.08254473187293,301.79105,299.3421899093853,301.79105,299.3421899093853
58,15,0,1,14,4.76,3,1,12,94.1609176991503,94.44675,91.22360998198448,94.44675,91.22360998198448
96,27,0,0,21,4.37,3,1,57,243.93730652889337,244.10382,245.1659436897311,244.10382,245.1659436897311
58,31,1,2,32,4.87,1,1,85,331.19305388667465,326.92065,335.724097360003,326.92065,335.724097360003
77,45,1,2,88,4.16,2,0,151,595.2312211886215,584.72394,568.73754910343,584.72394,568.73754910343
93,73,0,1,78,3.81,3,1,106,465.962681649944,464.16977,452.7776532153389,464.16977,452.7776532153389
44,11,0,1,56,3.83,0,1,18,104.75201005936664,123.405785,126.91588156669464,123.405785,126.91588156669464
20,10,0,1,54,4.12,2,1,168,784.0551260339382,781.988,753.0361018668372,781.988,753.0361018668372
70,40,1,1,9,3.77,1,0,130,382.9299378688001,385.10846,392.45969375462744,385.10846,392.45969375462744
42,12,0,0,92,4.5,0,0,123,319.2967130915861,325.24567,336.0366075615731,325.24567,336.0366075615731
87,33,0,1,53,4.15,1,0,143,640.1373391067773,620.59375,601.7051901034137,620.59375,601.7051901034137
70,43,1,0,47,4.31,2,0,57,243.4933853851045,236.38771,238.94401099425346,236.38771,238.94401099425346
61,15,2,0,29,4.49,0,0,32,135.005874109167,133.98122,134.4484228717835,133.98122,134.4484228717835
71,36,1,2,69,4.37,2,0,110,392.9639432866157,389.7734,391.70085739585363,389.7734,391.70085739585363
81,33,1,1,41,4.93,0,1,162,617.2885000560723,614.847,609.1241670236059,614.847,609.1241670236059
87,64,0,2,69,4.55,1,1,65,310.7883994951958,309.8834,308.5239434839439,309.8834,308.5239434839439
85,65,1,1,73,4.65,0,1,165,770.0708908209459,770.62933,766.165496376204,770.62933,766.165496376204
91,65,2,1,40,3.58,1,0,141,373.50470759834695,376.86954,410.31842281074455,376.86954,410.31842281074455
83,57,0,2,80,4.6,3,1,172,814.4195559447121,813.2498,795.6494373353454,813.2498,795.6494373353454
64,10,1,0,75,3.61,2,1,155,473.34669329802574,481.3226,477.2611055552318,481.3226,477.2611055552318
69,22,0,2,25,4.41,3,1,74,266.76777889406367,279.24994,272.13662015322484,279.24994,272.13662015322484
37,12,0,2,15,3.73,1,0,142,369.36165888010754,370.50974,374.07767821135917,370.50974,374.07767821135917
93,28,2,2,63,3.9,1,0,38,111.72394123957052,107.768135,103.99799026352018,107.768135,103.99799026352018
66,49,0,0,42,4.56,0,0,124,429.94835612457183,434.77737,442.3289209867302,434.77737,442.3289209867302
47,36,0,2,100,4.2,2,0,103,414.77830030238334,411.3002,405.8080829743034,411.3002,405.8080829743034
71,30,0,1,45,4.16,1,1,53,227.1825700126456,226.26341,224.61382119932534,226.26341,224.61382119932534
58,19,2,2,47,3.97,1,0,77,247.4420018201041,253.6431,249.09925418426127,253.6431,249.09925418426127
100,18,1,2,50,4.89,2,1,51,213.8232968736634,213.47801,194.3659350191335,213.47801,194.3659350191335
94,28,2,1,59,4.45,3,0,173,652.5878909594384,657.48114,683.1559714887837,657.48114,683.1559714887837
49,6,0,2,23,4.65,3,1,69,289.6463054085282,285.36014,281.69910933246575,285.36014,281.69910933246575
42,7,0,0,90,3.67,1,0,32,123.762469326047,113.968254,113.24093140791015,113.968254,113.24093140791015
79,63,2,0,56,4.66,1,1,70,292.5906288976858,289.564,293.9886191952048,289.564,293.9886191952048
59,5,0,0,17,4.97,1,1,143,440.93951077757487,439.28384,433.4192209097125,439.28384,433.4192209097125
54,7,2,1,91,3.75,3,0,97,298.3226183929867,298.17795,308.49203548281594,298.17795,308.49203548281594
60,6,0,2,65,4.76,2,0,168,629.2044295696749,629.9367,627.9240335238466,629.9367,627.9240335238466
26,13,1,2,4,3.63,3,1,123,441.99619244539696,443.0094,444.8384617191537,443.0094,444.8384617191537
90,10,0,2,59,4.44,2,1,147,691.5012905566776,678.8083,664.9275147690945,678.8083,664.9275147690945
34,12,1,2,38,4.18,0,0,24,106.94859059241988,87.68999,82.0681553485119,87.68999,82.0681553485119
80,34,1,2,84,3.8,3,0,174,561.4385219871201,693.47485,615.0294785792196,693.47485,615.0294785792196
21,7,0,1,58,4.31,2,1,75,328.45835687553256,323.0145,322.34183622538774,323.0145,322.34183622538774
97,71,1,2,52,4.32,1,0,36,133.38738314122594,132.11407,134.05071888620122,132.11407,134.05071888620122
64,7,1,1,92,4.58,1,1,16,114.6992021313152,114.321655,115.14797474908852,114.321655,115.14797474908852
47,34,0,0,16,4.38,1,1,46,237.14338896943252,233.28319,239.02736120652432,233.28319,239.02736120652432
44,28,0,0,30,3.93,1,1,42,157.10657171647188,197.37024,200.08320068344068,197.37024,200.08320068344068
21,9,1,0,13,4.01,1,0,127,431.251597706785,431.19113,424.89240877233215,431.19113,424.89240877233215
57,37,2,0,59,3.92,1,0,159,585.8075881778408,586.47015,583.3696342454168,586.47015,583.3696342454168
62,5,0,2,51,4.4,0,0,160,647.204374917644,645.8682,629.5805054994363,645.8682,629.5805054994363
25,6,2,0,60,3.91,1,1,145,559.578839787104,550.97925,548.7695822755909,550.97925,548.7695822755909
92,33,1,2,70,3.69,1,1,46,173.1505322724627,174.258,178.25217668238474,174.258,178.25217668238474
38,7,0,0,46,3.79,3,0,78,198.1704675081237,214.59377,214.07504226231782,214.59377,214.07504226231782
99,31,2,2,0,3.54,2,0,50,192.7088692483722,191.90916,188.19058699924096,191.90916,188.19058699924096
35,7,0,1,65,4.19,3,0,65,165.0758241756551,173.27127,169.73288622029617,173.27127,169.73288622029617
30,13,2,0,53,3.68,3,1,124,379.4680328899806,380.20795,382.7578676346316,380.20795,382.7578676346316
28,6,2,0,53,4.48,3,1,148,461.10955384851616,466.67996,480.15324438436386,466.67996,480.15324438436386
59,47,0,2,73,3.54,3,0,75,234.5672445982206,234.65155,238.52745321072558,234.65155,238.52745321072558
